Stresst,Rratio(#01),Rratio(#02),Rratio(#03),Rratio(#06),Rratio(#07),Rratio(#08),Rratio(#09),Rratio(#10),Rratio(#11),Rratio(#12)
1,1.073925,1.065284,1.083036,1.127453,1.065997,1.074377,1.048583,1.058466,1.002294,1.052789
5,1.136784,1.129534,1.144427,1.198103,1.136445,1.137087,1.117079,1.123849,1.064835,1.120073
10,1.194893,1.17669,1.195886,1.249125,1.196624,1.190465,1.170034,1.173165,1.114488,1.169718
20,1.273862,1.259841,1.272087,1.321286,1.280908,1.270684,1.254057,1.245331,1.197924,1.257822
30,1.299028,1.278955,1.290473,1.342431,1.30076,1.29435,1.274454,1.266981,1.220745,1.280074
40,1.347905,1.334848,1.336443,1.401973,1.360505,1.348548,1.332304,1.32588,1.277158,1.329426
50,1.381922,1.368776,1.366689,1.430387,1.398513,1.381264,1.372692,1.358951,1.315535,1.364517
60,1.408556,1.396755,1.390407,1.457469,1.421794,1.409878,1.396653,1.389528,1.339421,1.392805
70,1.425121,1.424421,1.405749,1.483223,1.441972,1.432644,1.419682,1.410998,1.366608,1.416732
80,1.441106,1.435488,1.419665,1.491176,1.457106,1.449562,1.439547,1.425862,1.387593,1.430946
90,1.450544,1.452231,1.435757,1.502241,1.469263,1.463201,1.457534,1.434793,1.40369,1.446397
100,1.460686,1.46711,1.442983,1.518358,1.482931,1.474671,1.469111,1.447927,1.413007,1.455747
150,1.516645,1.532726,1.495648,1.574315,1.541809,1.528944,1.529864,1.508719,1.478527,1.518801
200,1.534399,1.555412,1.513139,1.593184,1.55845,1.545115,1.550782,1.524774,1.498631,1.542898
250,1.544898,1.566957,1.526143,1.602852,1.572541,1.562178,1.564608,1.539883,1.512985,1.554251
300,1.552507,1.576457,1.535468,1.618766,1.57824,1.571716,1.574706,1.546895,1.522938,1.567081
350,1.559845,1.584002,1.542209,1.619351,1.5817,1.57488,1.585791,1.552434,1.526189,1.569116
400,1.565178,1.589499,1.54683,1.623824,1.593612,1.580933,1.585595,1.559574,1.536155,1.570485
450,1.566586,1.592097,1.55544,1.627517,1.588347,1.583951,1.594254,1.558441,1.542275,1.5797
500,1.570537,1.594818,1.557682,1.638117,1.59873,1.588705,1.592408,1.561685,1.541504,1.582564
550,1.573176,1.598005,1.558484,1.635212,1.605358,1.590632,1.598555,1.565823,1.546751,1.588565
600,1.575648,1.60559,1.561631,1.638015,1.604408,1.593536,1.605044,1.572142,1.55109,1.583442
650,1.576627,1.605911,1.568085,1.644548,1.604046,1.598091,1.604195,1.569492,1.550735,1.588852
700,1.58045,1.610161,1.563186,1.648384,1.606148,1.598625,1.605422,1.573761,1.554161,1.592364
750,1.582419,1.61142,1.563012,1.649259,1.604157,1.603182,1.609255,1.579514,1.562834,1.592773
800,1.587284,1.61001,1.562706,1.651892,1.606943,1.604492,1.608149,1.577181,1.563897,1.592021
850,1.588679,1.615621,1.575272,1.656126,1.609335,1.60243,1.610421,1.580851,1.560206,1.602934
900,1.591745,1.616616,1.57301,1.654295,1.609175,1.604759,1.615581,1.579743,1.560167,1.59633
950,1.586018,1.621618,1.572575,1.654888,1.617061,1.606968,1.617004,1.5858,1.561055,1.596584
1000,1.589081,1.616029,1.575686,1.653525,1.618382,1.605239,1.618622,1.579582,1.566039,1.601443
