Vdoff,Rratio(#01),Rratio(#02),Rratio(#03),Rratio(#04),Rratio(#06),Rratio(#07),Rratio(#08),Rratio(#09),Rratio(#10)
20,1.019545667,1.057581333,1.032917,1.004102667,1.05036875,1.005599333,1.005125,1.015720333,1.047962667
40,1.043718,1.068744333,1.052899,1.029021,1.0771135,1.029838,1.034538,1.038009333,1.060397667
60,1.076341,1.091183,1.092618,1.066329333,1.1132095,1.065387333,1.069970333,1.067719,1.089409667
80,1.108395667,1.118946,1.121748333,1.099824667,1.149785,1.097543333,1.100265667,1.098756,1.120087
100,1.130229333,1.142923,1.147882333,1.126357333,1.18358225,1.126911667,1.130764,1.131284667,1.146207
120,1.155709667,1.165751333,1.170941333,1.151104333,1.21228875,1.151197667,1.155384333,1.153050333,1.170215667
140,1.177479333,1.192059,1.195583333,1.176433,1.2461425,1.172993,1.178061667,1.177765667,1.18764
160,1.199288667,1.210643667,1.214668,1.199297667,1.2719175,1.194666667,1.199964667,1.203780667,1.208153667
180,1.214557667,1.227837333,1.226055667,1.210114667,1.28556375,1.209961333,1.218001333,1.222014667,1.223548333
200,1.227255333,1.239425,1.232228,1.218065,1.2843815,1.227173333,1.229117333,1.235044,1.228157
220,1.173781333,1.189411,1.212797,1.20213,1.26457625,1.173146667,1.177431333,1.182783333,1.176714333
240,1.166909,1.191977333,1.208427667,1.196151,1.2481595,1.173349667,1.178828333,1.180002,1.16642
260,1.165740333,1.182881,1.194520667,1.180174,1.2383065,1.165018333,1.172677,1.164465,1.150546333
280,1.14251,1.161993667,1.179086,1.163693,1.22088225,1.144351,1.156149333,1.148977333,1.139536
300,1.137695,1.146316,1.158534333,1.148331333,1.20095775,1.137809333,1.141867333,1.135939667,1.120995333
320,1.118615333,1.129123667,1.136140333,1.128587667,1.17708375,1.122875333,1.120954333,1.113975667,1.101188667
340,1.093352,1.104788333,1.115852667,1.109799667,1.15590375,1.10268,1.102486,1.095989,1.081011333
360,1.070909,1.081641667,1.093538,1.095431,1.13809575,1.080515,1.087044667,1.077813,1.057093333
380,1.055838333,1.060962,1.080771667,1.077706667,1.1185972,1.064386,1.068086333,1.062690667,1.04156
400,1.040620333,1.043133333,1.065808667,1.061796333,1.104791,1.050904667,1.051174,1.047033667,1.029925
420,1.027956333,1.027603333,1.054429,1.050296333,1.09149975,1.039099667,1.03999,1.037108333,1.017766667
440,1.017271,1.019167333,1.048057333,1.042885667,1.0881575,1.029637667,1.029460667,1.022586,1.008034667
460,1.013639667,1.009869667,1.039752,1.036341667,1.0807045,1.021922667,1.023407,1.015538667,1.003989667
480,1.011108333,1.000299,1.038937333,1.033174667,1.077698,1.015561333,1.014064667,1.011742,0.99632
500,1.007019667,0.9991975,1.031269333,1.030919333,1.0742095,1.011478333,1.013765667,1.006317,0.993378
